screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
VANESSALOTERO,Miami,42753453,Instagram,2,False,en,"[{'text': 'best', 'indices': [11, 16]}, {'text': 'bts', 'indices': [17, 21]}, {'text': 'pics', 'indices': [22, 27]}, {'text': 'selfie', 'indices': [34, 41]}, {'text': 'ad', 'indices': [85, 88]}, {'text': 'campaign', 'indices': [89, 98]}, {'text': 'print', 'indices': [99, 105]}, {'text': 'photoshoot', 'indices': [106, 117]}]",2019-07-04 22:38:28,One of the ever. with justice2all &amp; @roguetastic for an https://t.co/h8HmfPkxMc,"['best', 'bts', 'pics', 'selfie', 'ad', 'campaign', 'print', 'photoshoot']",False,,83,True,0,
MawRecord,Fresno,357219679,Twitter for Android,0,False,en,"[{'text': 'actress', 'indices': [88, 96]}, {'text': 'theater', 'indices': [97, 105]}, {'text': 'movies', 'indices': [106, 113]}]",2019-07-04 22:37:20,HAPPY FOURTH OF JULY @mariahhbabby enjoying herself with family and friends pool side https://t.co/G9b5xMOdwU,"['actress', 'theater', 'movies']",False,,109,True,0,
FreeDailyRush,Timbuktu,908787702673346561,FreeDailyRush,0,False,en,"[{'text': 'Film', 'indices': [101, 106]}, {'text': 'Action', 'indices': [107, 114]}]",2019-07-04 22:37:01,Director Buster Keaton and composer Michael Bank &amp; Bruce Goldstein worked on Sherlock Jr. (1924) https://t.co/Tznhs3MY1R,"['Film', 'Action']",False,,124,True,0,
DirectorRB3,"Compton, CA",156152460,Twitter for iPhone,0,False,en,"[{'text': 'TheMeaningOf', 'indices': [59, 72]}, {'text': 'film', 'indices': [100, 105]}]",2019-07-04 22:36:26,What are y’all doing not listening to ? Missing out on some great discussion! They even used my voi…,"['TheMeaningOf', 'film']",True,thenerdychicano,100,False,0,
JDaylightMedia,Chicago/LA/NYC/ATL/London,783885194,Instagram,0,False,en,"[{'text': 'Can', 'indices': [0, 4]}, {'text': 'Make', 'indices': [7, 12]}, {'text': 'plate', 'indices': [19, 25]}, {'text': '4thofjuly', 'indices': [27, 37]}, {'text': 'fireworks', 'indices': [38, 48]}, {'text': 'barbecue', 'indices': [51, 60]}, {'text': 'cocktails', 'indices': [61, 71]}, {'text': 'holiday', 'indices': [72, 80]}, {'text': 'CatchMeIfYouCan', 'indices': [81, 97]}, {'text': 'Actress', 'indices': [98, 106]}]",2019-07-04 22:35:43,I You A ?  https://t.co/poQCvZugCJ,"['Can', 'Make', 'plate', '4thofjuly', 'fireworks', 'barbecue', 'cocktails', 'holiday', 'CatchMeIfYouCan', 'Actress']",False,,35,True,1,🎉
StarsandSpace,unknown,20331050,Twitter Web Client,0,False,en,"[{'text': 'writing', 'indices': [109, 117]}]",2019-07-04 22:35:34,"When you write, you want to get rid of the world, don’t you? Of course you do. When you’re , you're creating your…",['writing'],True,noveliciouss,114,False,0,
StarsandSpace,unknown,20331050,Twitter Web Client,0,False,en,"[{'text': 'writing', 'indices': [115, 123]}, {'text': 'acting', 'indices': [124, 131]}]",2019-07-04 22:35:25,Nothing will stop you being creative so effectively as the fear of making a mistake. JOHN CLEESE,"['writing', 'acting', 'writer']",True,noveliciouss,96,False,0,
InderjitkaurALS,Mumbai ,1904467544,Twitter for Android,0,False,en,[],2019-07-04 22:35:22,"I tried to ignore my hunger and wandered aimlessly around the town wondering where my next meal would come from
 https…",[],True,InderjitkaurALS,119,True,0,
SnobbyFlix,unknown,3689648535,SnobbyFlix,0,False,en,"[{'text': 'Film', 'indices': [106, 111]}, {'text': 'Short', 'indices': [112, 118]}]",2019-07-04 22:35:02,"Hear music by Jorge Egidio Dos Santos &amp; Martin M. Messier in Hungu (2008), directed by Nicolas Brault https://t.co/pZvqM7IDpC","['Film', 'Short']",False,,129,True,0,
iamcaptainshan,unknown,1129384653633282049,Twitter for iPhone,1,False,en,"[{'text': 'film', 'indices': [26, 31]}]",2019-07-04 22:34:09,Working hard on getting a finished this weekend. Gonne be  On Captain Shan @YouTube channel.,['film'],False,,93,False,1,🔥
Ozzzy2013,unknown,1856174838,Twitter Web Client,1,False,en,"[{'text': 'trailer', 'indices': [57, 65]}, {'text': 'poster', 'indices': [67, 74]}, {'text': 'horror', 'indices': [76, 83]}, {'text': 'film', 'indices': [85, 90]}, {'text': 'Asia', 'indices': [91, 96]}]",2019-07-04 22:33:17,THE DIVINE FURY. (TRAILER 2019): https://t.co/avQMIDEpTu https://t.co/ab6WPUGVhD,"['trailer', 'poster', 'horror', 'film', 'Asia']",False,,80,True,0,
